Country,Year,life,population,income,region
Afghanistan,1800,28.21,3280000,603,South Asia
Afghanistan,1801,28.20,,603,South Asia
Afghanistan,1802,28.19,,603,South Asia
Afghanistan,1803,28.18,,603,South Asia
Afghanistan,1804,28.17,,603,South Asia
Afghanistan,1805,28.16,,603,South Asia
Afghanistan,1806,28.15,,603,South Asia
Afghanistan,1807,28.14,,603,South Asia
Afghanistan,1808,28.13,,603,South Asia
Afghanistan,1809,28.12,,603,South Asia
Afghanistan,1810,28.11,3280000,604,South Asia
Afghanistan,1811,28.10,,604,South Asia
Afghanistan,1812,28.09,,604,South Asia
Afghanistan,1813,28.08,,604,South Asia
Afghanistan,1814,28.07,,604,South Asia
Afghanistan,1815,28.06,,604,South Asia
Afghanistan,1816,28.05,,604,South Asia
Afghanistan,1817,28.04,,604,South Asia
Afghanistan,1818,28.03,,604,South Asia
Afghanistan,1819,28.02,,604,South Asia
Afghanistan,1820,28.01,3323519,604,South Asia
Afghanistan,1821,28.00,,607,South Asia
Afghanistan,1822,27.99,,609,South Asia
Afghanistan,1823,27.98,,611,South Asia
Afghanistan,1824,27.97,,613,South Asia
Afghanistan,1825,27.95,,615,South Asia
Afghanistan,1826,27.94,,617,South Asia
Afghanistan,1827,27.93,,619,South Asia
Afghanistan,1828,27.92,,621,South Asia
Afghanistan,1829,27.91,,623,South Asia
Afghanistan,1830,27.90,3448982,625,South Asia
Afghanistan,1831,27.89,,627,South Asia
Afghanistan,1832,27.88,,630,South Asia
Afghanistan,1833,27.87,,632,South Asia
Afghanistan,1834,27.86,,634,South Asia
Afghanistan,1835,27.85,,636,South Asia
Afghanistan,1836,27.84,,638,South Asia
Afghanistan,1837,27.83,,640,South Asia
Afghanistan,1838,27.82,,643,South Asia
Afghanistan,1839,27.81,,645,South Asia
Afghanistan,1840,27.80,3625022,647,South Asia
Afghanistan,1841,27.79,,649,South Asia
Afghanistan,1842,27.78,,651,South Asia
Afghanistan,1843,27.77,,654,South Asia
Afghanistan,1844,27.76,,656,South Asia
Afghanistan,1845,27.75,,658,South Asia
Afghanistan,1846,27.74,,660,South Asia
Afghanistan,1847,27.73,,663,South Asia
Afghanistan,1848,27.72,,665,South Asia
Afghanistan,1849,27.71,,667,South Asia
Afghanistan,1850,27.70,3810047,669,South Asia
Afghanistan,1851,27.69,,672,South Asia
Afghanistan,1852,27.68,,674,South Asia
Afghanistan,1853,27.67,,676,South Asia
Afghanistan,1854,27.66,,678,South Asia
Afghanistan,1855,27.65,,681,South Asia
Afghanistan,1856,27.64,,683,South Asia
Afghanistan,1857,27.63,,685,South Asia
Afghanistan,1858,27.62,,688,South Asia
Afghanistan,1859,27.61,,690,South Asia
Afghanistan,1860,27.60,3973968,692,South Asia
Afghanistan,1861,27.59,,695,South Asia
Afghanistan,1862,27.58,,697,South Asia
Afghanistan,1863,27.57,,699,South Asia
Afghanistan,1864,27.56,,702,South Asia
Afghanistan,1865,27.54,,704,South Asia
Afghanistan,1866,27.53,,707,South Asia
Afghanistan,1867,27.52,,709,South Asia
Afghanistan,1868,27.51,,711,South Asia
Afghanistan,1869,27.50,,714,South Asia
Afghanistan,1870,27.49,4169690,716,South Asia
Afghanistan,1871,27.48,,719,South Asia
Afghanistan,1872,27.47,,721,South Asia
Afghanistan,1873,27.46,,724,South Asia
Afghanistan,1874,27.45,,726,South Asia
Afghanistan,1875,27.44,,729,South Asia
Afghanistan,1876,27.43,,731,South Asia
Afghanistan,1877,27.42,,734,South Asia
Afghanistan,1878,27.41,,736,South Asia
Afghanistan,1879,27.40,,739,South Asia
Afghanistan,1880,27.39,4419695,741,South Asia
Afghanistan,1881,27.38,,744,South Asia
Afghanistan,1882,27.37,,746,South Asia
Afghanistan,1883,27.36,,749,South Asia
Afghanistan,1884,27.35,,751,South Asia
Afghanistan,1885,27.34,,754,South Asia
Afghanistan,1886,27.33,,756,South Asia
Afghanistan,1887,27.32,,759,South Asia
Afghanistan,1888,27.31,,761,South Asia
Afghanistan,1889,27.30,,764,South Asia
Afghanistan,1890,27.29,4710171,767,South Asia
Afghanistan,1891,27.28,,769,South Asia
Afghanistan,1892,27.27,,772,South Asia
Afghanistan,1893,27.26,,774,South Asia
Afghanistan,1894,27.25,,777,South Asia
Afghanistan,1895,27.24,,780,South Asia
Afghanistan,1896,27.23,,782,South Asia
Afghanistan,1897,27.22,,785,South Asia
Afghanistan,1898,27.21,,788,South Asia
Afghanistan,1899,27.20,,790,South Asia
Afghanistan,1900,27.19,5021241,793,South Asia
Afghanistan,1901,27.18,,796,South Asia
Afghanistan,1902,27.17,,798,South Asia
